,aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,dealAmount_clean,dealDate
0,105동,래미안신반포팰리스,11650-4439,158,0,2016,개인,,,"355,000",24,1,2025,중개거래,서울 서초구,84.49,17,158,1,N,25.05.07,잠원로8길,00035,00000,4163529,00,11650,0,11650,개인,10600,잠원동,355000.0,2025-01-24
1,6,임광,11650-341,1015,0,1985,개인,,,"264,500",5,1,2025,중개거래,서울 서초구,136.38,6,1015,1,N,25.04.14,방배로,00014,00000,3121010,01,11650,0,11650,개인,10100,방배동,264500.0,2025-01-05
2,202,서초힐스,11650-3821,773,0,2012,개인,,,"144,500",31,1,2025,중개거래,서울 서초구,74.95,6,773,1,N,25.04.30,양재대로2길,00090,00000,4163748,01,11650,0,11650,개인,10300,우면동,144500.0,2025-01-31
3,101,반포리체,11650-3617,30,26,2010,개인,,,"353,000",25,1,2025,중개거래,서울 서초구,84.967,16,30-26,1,N,25.03.31,고무래로,00035,00000,3121001,01,11650,0,11650,개인,10700,반포동,353000.0,2025-01-25
4,108,래미안방배아트힐(1008-2),11650-658,1008,2,2004,개인,,,"228,000",31,1,2025,중개거래,서울 서초구,127.61,2,1008-2,1,N,25.09.22,남부순환로,02311,00012,2000003,01,11650,0,11650,개인,10100,방배동,228000.0,2025-01-31
5,102,동아,11650-102,157,0,2002,개인,,,"260,000",25,1,2025,중개거래,서울 서초구,84.91,2,157,1,N,25.04.30,신반포로33길,00015,00000,4163453,01,11650,0,11650,개인,10600,잠원동,260000.0,2025-01-25
6,103,반포자이,11650-3500,20,43,2009,개인,,,"405,000",25,1,2025,중개거래,서울 서초구,84.998,3,20-43,1,N,25.05.30,신반포로,00270,00000,3121017,02,11650,0,11650,개인,10700,반포동,405000.0,2025-01-25
7,101,방배블레스밸리,11650-585,1019,3,2003,개인,,,"189,500",18,1,2025,중개거래,"서울 강남구, 서울 서초구",128.4,10,1019-3,1,N,25.03.14,효령로34길,00092,00000,4163634,01,11650,0,11650,개인,10100,방배동,189500.0,2025-01-18
8,105,동아,11650-102,157,0,2002,개인,,,"274,500",23,1,2025,중개거래,서울 서초구,84.91,7,157,1,N,25.06.30,신반포로33길,00015,00000,4163453,01,11650,0,11650,개인,10600,잠원동,274500.0,2025-01-23
9,104,방배아크로리버,11650-640,752,36,2004,개인,,,"190,000",24,1,2025,중개거래,서울 서초구,84.74,24,752-36,1,N,25.04.11,방배중앙로,00207,00010,3121011,01,11650,0,11650,개인,10100,방배동,190000.0,2025-01-24
10,2,아남,11650-54,1641,13,1989,개인,,,"169,000",25,1,2025,중개거래,서울 서초구,84.96,9,1641-13,1,N,25.04.18,사임당로23길,00053,00000,4163318,01,11650,0,11650,개인,10800,서초동,169000.0,2025-01-25
11,101,래미안서초스위트,11650-3515,1301,6,2009,개인,,,"215,000",22,1,2025,중개거래,서울 서초구,59.9958,3,1301-6,1,N,25.05.07,서운로,00221,00000,3121016,01,11650,0,11650,개인,10800,서초동,215000.0,2025-01-22
12,105,동아,11650-102,157,0,2002,개인,,,"263,500",26,1,2025,중개거래,서울 서초구,84.91,3,157,1,N,25.04.30,신반포로33길,00015,00000,4163453,01,11650,0,11650,개인,10600,잠원동,263500.0,2025-01-26
13,211,신반포4,11650-125,70,0,1979,개인,,,"390,000",24,1,2025,중개거래,서울 서초구,107.39,12,70,1,N,25.04.15,잠원로,00037,00048,3121019,01,11650,0,11650,개인,10600,잠원동,390000.0,2025-01-24
14,102,반포래미안아이파크,11650-4678,1341,0,2018,개인,,,"440,000",21,1,2025,중개거래,서울 서초구,112.95,4,1341,1,N,25.05.30,서초중앙로,00220,00000,3121024,02,11650,0,11650,개인,10700,반포동,440000.0,2025-01-21
15,106,서초호반써밋,11650-3963,753,0,2013,개인,,,"175,000",31,1,2025,중개거래,"경기 안산시 상록구, 서울 서초구",101.0482,7,753,1,N,25.08.22,양재대로2길,00109,00000,4163748,01,11650,0,11650,개인,10300,우면동,175000.0,2025-01-31
16,,방배블레스밸리,11650-585,1019,3,2003,개인,25.02.20,O,"189,500",18,1,2025,중개거래,"서울 강남구, 서울 서초구",128.4,10,1019-3,1,N,,효령로34길,00092,00000,4163634,01,11650,0,11650,개인,10100,방배동,189500.0,2025-01-18
17,107,방배1차현대홈타운,11650-290,1344,0,1999,개인,,,"167,000",25,1,2025,중개거래,서울 서초구,59.94,8,1344,1,N,25.04.15,서초대로1길,00030,00000,4163389,01,11650,0,11650,개인,10100,방배동,167000.0,2025-01-25
18,102,롯데캐슬클래식,11650-3300,1312,3,2006,개인,,,"268,000",27,1,2025,중개거래,서울 서초구,84.98,5,1312-3,1,N,25.04.30,서운로,00197,00000,3121016,00,11650,,11650,개인,10800,서초동,268000.0,2025-01-27
19,103,반포자이,11650-3500,20,43,2009,개인,,,"400,000",21,1,2025,중개거래,서울 서초구,84.943,19,20-43,1,N,25.03.27,신반포로,00270,00000,3121017,02,11650,0,11650,개인,10700,반포동,400000.0,2025-01-21
20,101,신반포청구,11650-141,63,2,1998,개인,,,"228,000",23,1,2025,중개거래,서울 서초구,59.91,18,63-2,1,N,25.03.24,신반포로33길,00066,00000,4163453,01,11650,0,11650,개인,10600,잠원동,228000.0,2025-01-23
21,307,반포미도,11650-172,60,4,1987,개인,,,"299,500",22,1,2025,중개거래,"서울 마포구, 서울 서초구",84.96,10,60-4,1,N,25.04.29,서초중앙로29길,00028,00000,4163713,01,11650,0,11650,개인,10700,반포동,299500.0,2025-01-22
22,3,진흥아파트,11650-66,1315,0,1979,개인,,,"256,000",25,1,2025,중개거래,서울 서초구,101.32,5,1315,1,N,25.04.15,서초대로,00385,00000,2121002,02,11650,0,11650,개인,10800,서초동,256000.0,2025-01-25
