"주택유형별","지역별","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월",
"종합","전국","전세수급동향","","105.479773","106.8442153","108.8328733","110.3862594","109.1122348","107.0218423","107.1827094","109.0572531","111.067946","112.6766439","112.0949648","111.0206637","111.5398284","111.9984764","111.9393508","109.2095906","107.6225552","107.6624168","107.5889007","108.4233754","109.7707562","110.6456357","110.2551098","110.2449663","110.1421801","110.9428785","113.4397605","113.9613792","113.1803442","113.0032427","111.324228","110.9976247","111.5182106","111.854711","111.9061758","109.8653998","109.1785432","108.2185273","107.3871734","107.1951702","106.6547902","106.5874901","106.4786223","105.8867775","105.073454","105.4094067","105.426695","104.1548039","102.8185856","102.8680434","102.7807304","102.1813418","102.0130659","101.9782807","101.47137","100.5807995","100.2372547","100.3359526","99.34517709","95.69430907","95.46374747","95.01012222","94.33718227","91.09432406","89.0680063","88.49441404","88.51315888","88.66499213","89.79155732","89.33605758","88.46629677","87.39409162","84.66111556","82.85579231","81.78314304","81.59224784","81.5504327","81.33590284","83.14849829","84.97200204","85.92909091","86.89818182","88.35272727","91.30608683","92.68520806","93.22664879","93.76014396","92.36468845","92.39115094","95.51130551","100.1533959","102.2039636","102.385402","104.4816643","107.1844147","111.0490127","111.0719323","110.5112835","108.7535261","106.2253173","105.4619182","108.1100141","113.2618583","115.14295","115.2588261","112.6196665","101.6937405","98.89423181","96.87560917","95.39143055","96.03379183","97.45711315","97.20477387","96.70240416","95.05437373","91.93020838","89.63829326","85.18085337","78.93329002","74.52999783","74.59513742","75.96828753","79.27589852","82.52325581","86.10042283","87.52008457","89.00211416","90.76955603","92.3372093","93.10359408","92.63002114","91.9154334","91.77807764","91.98671372","92.55864646","93.52397758","94.94291053","95.11625493","96.19368902","97.11127258","97.065601","97.20469172","96.63898692","96.04421839","95.78991073","96.06082624","96.58501142","96.55075773","96.65767075","97.0489931493","96.90471248","97.28565497","98.26344198","99.24538094","99.76956612","100.0986091",
"종합","수도권","전세수급동향","","106.982485","107.7415942","109.957652","111.1143833","109.6183296","107.4449287","108.0652763","112.6487569","115.4176977","116.7962767","115.8300931","115.1702604","115.4150424","114.9369266","115.2637615","110.8199541","108.4116972","108.5091743","109.3692661","110.4759174","113.0389908","113.8417431","113.3199541","113.3944954","113.3064973","114.4517519","117.1618097","118.5451865","118.1086291","118.2333598","116.0782322","115.2569638","115.7056981","116.7174668","116.4634663","114.0504614","112.8227923","112.3147913","111.2733892","111.6120566","111.6882567","111.8914571","111.5146897","111.3792228","109.8945661","110.3527981","110.3203569","108.6901865","106.1962693","106.2611517","106.2935929","106.1708861","106.210928","106.074008","105.6926073","104.0308191","103.5077048","103.7145174","102.8791565","98.13461837","97.96362506","97.69159024","96.16819524","91.72625525","88.94761387","89.45282139","90.11347738","91.43090316","93.51391264","92.47629411","91.52417224","90.11347738","86.96292381","83.33459186","82.30008306","82.39447255","83.16469078","83.47806388","86.14739863","90.09665484","92.05498074","93.54655993","94.83800317","99.26376199","100.170105","100.3401114","101.0201129","99.56952684","99.07032267","103.2518267","107.5043378","109.2430596","109.4339623","112.0942673","114.2232343","117.4727102","117.2377648","116.3088267","113.558158","109.7158968","109.1773296","113.0593508","118.4016993","120.5417504","119.9273707","114.5121506","100.67833","97.02845918","94.01580558","91.48887569","92.50045687","95.52576284","95.61006806","95.31564042","93.02947224","88.90132481","85.84414398","79.7780011","72.88050429","68.04768865","67.55876712","69.67973594","74.5506044","78.9040546","84.16744725","86.48021767","88.69485704","90.97194344","93.1642803","93.96940095","93.03715598","91.94879343","91.79081655","92.58595832","93.59080781","95.01944165","97.25850845","98.13884399","99.75534099","100.7470838","100.3953864","100.3211149","99.04976189","97.89418498","97.27379964","97.66481716","98.67185111","98.75957917","99.07347275","99.6644585877","98.99121098","98.99337576","100.2467853","101.4677231","101.768628","102.1821016",
"종합","지방","전세수급동향","","104.2850467","106.1308411","107.9392523","109.8083216","108.7104919","106.6859921","106.4820877","106.2061547","107.6145931","109.4059869","109.1262409","107.7222066","108.4601367","109.6627165","109.29607","107.9290534","106.994984","106.9891493","106.1766579","106.7952333","107.1792307","108.1113031","107.8248613","107.7475675","107.6563335","108.1863531","110.515767","110.359116","109.3087476","108.8945306","107.1492304","107.2570451","107.8407317","107.584207","107.9039334","106.1900513","105.9781396","104.6211614","103.9742732","103.3162317","102.2343669","101.9295115","102.0559149","101.0632761","100.8313709","101.0597303","101.1204682","100.1641333","99.84657104","99.88224379","99.68955181","98.6726611","98.32274641","98.37650753","97.75922358","97.54513666","97.35959466","97.36316278","96.23563834","93.42048088","93.13441483","92.51158749","92.63108343","90.50550406","89.1801854","87.6013905","87.02201622","86.0877752","86.323146","86.41005214","85.6170336","84.86022596","82.52331861","82.41110877","81.30303668","80.84718423","80.05119574","79.34637773","80.36327933","80.21249737","80.24054983","80.72445473","82.33045796","83.91542184","85.56274969","86.45661157","86.84917355","85.50619835","86.03305785","88.14539447","93.15365551","95.50117032","95.67357335","97.23273904","100.4818614","104.9321952","105.2006608","104.990707","104.1784264","102.9014938","101.9240036","103.3971226","108.6271522","110.2747343","111.0490979","110.9131724","102.6093583","100.5767013","99.45423841","98.91040165","99.21942579","99.19879717","98.64274828","97.95287915","96.87976274","94.66139397","93.0595601","90.05272263","84.39121839","80.37523684","80.9352518","81.6345806","83.53362003","85.78433343","87.84212853","88.45705558","89.27896789","90.58719505","91.59197781","92.32345967","92.2631727","91.88537438","91.76654404","91.44416756","91.62414461","92.1700091","92.84640639","92.3796527","92.96902812","93.81946917","94.05086824","94.38313358","94.45631106","94.36928919","94.44642221","94.60859934","94.69562122","94.51601324","94.43225781","94.6396522155","94.98265066","95.71251944","96.4364057","97.19818131","97.92805009","98.1793164",
"종합","6대광역시","전세수급동향","","104.0371417","105.9245055","107.3778765","109.9858643","108.3097738","106.1793215","106.6148253","107.6045243","110.9068875","114.1486568","113.9422105","111.8330639","112.740479","113.8381457","113.0550098","110.3143418","108.7247003","108.5380232","107.8600904","108.3906465","109.3338573","110.3753193","109.7858125","108.351346","109.5843853","110.3903671","113.4783453","112.5364148","112.0703049","111.7401437","109.7582038","109.6875491","110.4097975","110.417648","111.3832627","108.9810017","108.0703407","106.0998587","104.9458314","104.9144293","104.7417177","104.9615324","104.6553619","103.8467577","102.3058252","103.9745146","104.5206311","102.7609223","102.8898665","102.9965104","103.0192687","102.7078277","102.3816748","101.9645024","100.629551","100.7205704","100.1365291","99.68143204","98.89259709","94.4153337","93.81549917","93.71897408","93.54660783","89.79591837","87.74131274","86.54853833","85.96938776","84.55598456","85.16271373","85.53502482","84.88692774","84.38361831","82.50404531","82.38942826","81.51294498","80.89266451","80.46116505","80.2184466","80.62297735","81.00728155","81.71521036","82.77373247","85.54476807","87.74946063","89.25837952","90.57139087","91.21799947","89.14621272","89.46291898","90.49881235","93.82422803","95.82343626","96.41773321","100.1913181","104.9017021","109.6648634","109.4405594","109.460351","107.2239082","105.4360734","105.535031","107.6329331","111.0888229","112.6414186","113.1910455","111.7146754","101.5124769","99.59878029","97.30803177","95.97608922","96.18038838","96.46926657","95.59496108","94.37133916","92.48114267","89.29459915","86.70865763","83.4349675","76.62681537","72.0532777","73.25526564","74.14335115","76.56397359","80.16740019","83.0517133","84.23058787","85.10095059","87.06496975","88.53405609","89.47678529","88.6479692","88.25516537","88.62066319","88.29828063","89.6415413","90.49739024","91.49140313","90.86198956","91.71016273","93.237642","93.33358919","93.59072766","93.47942892","92.79244704","92.81931225","93.07261283","93.62143076","93.74952126","93.44695519","93.8337801609","93.85292991","94.85254692","95.88663347","97.28839525","98.33397166","98.94293374",
"종합","5대광역시","전세수급동향","","104.1781336","106.1921441","107.5556668","109.95996","108.4834835","106.0810811","105.9073842","105.7321652","108.7984981","111.9899875","111.2446782","109.2935872","110.4801365","112.0121951","111.1124665","109.1241766","107.6744754","108.2235237","107.3450464","107.9062958","108.8457784","110.0658858","109.6388482","107.9795022","109.2003854","109.6579961","113.4874759","111.9821773","111.4763969","110.7899807","108.2924436","108.1943081","109.077527","109.8429833","110.9911678","107.9980373","107.1736997","104.6908734","103.2777233","103.218842","103.0814524","103.0912659","103.1992149","102.0117763","100.8399396","101.9724424","102.2744432","100.3775009","100.4718762","100.8023409","100.7457051","100.0849377","99.62249906","99.02793507","97.56511891","97.60286901","97.26311816","96.82899207","96.09286523","92.61422192","92.02164205","92.00446582","91.97011336","88.86980419","87.4098248","86.22466506","85.8210237","84.49845414","84.85915493","84.93644796","83.88869804","82.78083133","80.59989918","80.80994791","79.97815493","79.08754831","78.43219627","78.18853974","78.70946059","78.98672492","78.88590153","80.03696858","83.27171904","85.62426483","87.52062026","88.51864071","88.4856483","85.89574398","86.58858463","88.08149126","91.87561861","94.3830419","95.33234372","98.68876794","103.331684","109.0466766","108.6425862","108.1312881","106.0118753","104.9480455","104.8078509","105.9541481","109.8865478","110.8438006","110.8691248","109.5320097","101.3523096","99.38709351","97.1636953","96.80409238","96.9911863","96.24658089","95.64424635","94.47427066","93.07567622","90.29578606","88.0267423","84.78525122","77.61345219","72.78160454","74.10146942","74.6971803","76.93606037","80.14793487","82.80877681","83.87609214","84.65813238","86.62300288","87.80887169","88.68214746","88.26039496","87.85352784","87.92132103","87.23652258","88.29528898","89.21806702","89.58232152","88.89752307","89.76687712","90.85478388","91.24817873","91.43759106","91.9378339","91.83584264","92.35551238","92.68091306","92.8703254","92.68980266","92.88422281","93.2973656071","93.56955381","94.73121415","95.27559055","96.573345","97.42393312","97.79819189",
"종합","9개도","전세수급동향","","104.6464373","105.7256389","107.5092568","109.2646129","108.2354536","105.9812071","106.0551288","107.8084049","108.9660159","110.3488792","109.5931284","108.7929476","109.0808661","109.1310881","109.7144878","107.4787836","106.2544201","106.4931047","106.5023805","107.6661964","109.1430083","109.5177217","109.2355846","109.5970728","109.6353267","110.2013481","112.2364328","113.1829184","112.5561701","112.3142067","110.6980167","110.3020534","110.533324","110.7856192","110.3195739","108.2136099","107.7195319","107.442708","107.0397365","106.6507814","105.8133016","105.4734039","105.3542645","104.7025019","104.0936646","103.9804144","103.8074617","103.0311105","101.7287323","101.9119313","102.071814","101.489305","101.3865742","101.1794496","101.0028653","100.2897875","99.68356539","100.0399707","98.79421757","94.95020339","94.76434283","94.36807406","94.21377472","91.45392061","89.83728433","89.41646795","89.09384205","89.02721279","89.77065507","89.26918221","88.68705288","87.98919905","85.82740572","84.93155281","83.82431888","83.59951684","83.32774124","82.66675614","83.91491075","85.04563146","85.76174497","86.10738255","86.87248322","88.70956919","90.10709155","90.84143874","91.5926893","90.52016708","90.94765696","94.31758873","99.60208741","101.5720809","101.8590998","102.5016308","104.3770385","107.8212655","108.3757339","108.4083496","107.7495108","106.2524462","105.0978474","107.3613829","114.1373554","116.1309108","116.2182623","114.9371069","102.309962","99.52244137","97.83748107","96.53271209","97.33460165","99.01386031","98.76732539","98.54414163","97.16160596","94.23047057","92.3790667","87.93190465","82.25793928","78.29606336","77.76579236","79.2797396","82.42307256","85.10275917","88.31800462","89.52159267","91.02059358","92.47615082","94.10963053","94.70018171","94.29890975","93.59479104","93.35008375","93.57156151","93.46175321","94.16154848","95.58719524","95.68583659","96.75972455","97.63260748","97.68099758","97.96017123","97.39251815","97.05564861","96.7485576","96.93281221","97.24176438","97.01464724","96.99601208","97.1506839104","97.07427975","97.25317729","98.08244195","98.64149678","99.08874064","99.23036786",
"종합","8개도","전세수급동향","","104.0483062","106.0078991","108.1193985","109.7887217","108.9008817","107.0690179","106.8886861","106.5921533","107.0190114","107.9923954","107.9820423","106.9319738","107.4734956","108.1777446","108.334578","107.3722737","106.7597849","106.3863161","105.8521713","106.4693635","106.9303986","107.4211779","107.0345033","107.9491374","107.4268239","107.8491335","109.2471239","109.8863471","108.6646279","108.2641619","107.0202906","107.3459419","107.6841182","106.7071643","106.6069639","105.6362725","105.63001","104.9411323","104.6530561","103.5633768","101.9225952","101.3589679","101.4466433","100.5197896","100.6408706","100.3446191","100.2600073","100.1088271","99.71584039","99.6311971","99.75816203","98.63361548","98.27648766","98.40386941","98.17412334","97.19467956","96.98911729","97.21886336","95.7496977","93.44240838","93.35732984","92.80759162","92.84031414","91.38089005","90.29450262","88.46858639","87.78141361","87.01570681","87.03534031","86.68848168","86.08638743","85.53010471","82.92713726","82.69983584","81.62015406","81.72749084","80.83722692","79.91539336","81.20343478","80.76145978","80.75514585","80.79302942","81.12135371","82.1378962","83.50951374","84.30312073","85.03667786","84.61395002","85.08641054","87.63200398","93.29730401","95.55224251","94.96210709","95.01180271","97.41582805","100.4286247","101.2051186","101.3045099","101.7579824","101.0995155","100.3292334","102.2114548","108.1304317","110.191769","111.4558644","112.1274151","103.6558213","101.7167074","101.1994541","100.6932471","101.1635423","101.4688981","100.9625054","100.5889535","99.78812038","98.15745995","96.98699993","94.14996768","89.77591036","86.46484235","86.3185123","86.89527405","88.10123043","89.41904362","91.11087808","91.3310962","92.23721939","93.12539338","94.05552836","94.73040073","94.98216659","94.62899503","94.42371476","94.43753455","94.07476506","94.3684356","95.29090658","94.96959646","95.38419016","96.13736871","96.14773355","96.60724157","96.27902156","96.13045882","95.9473466","96.0199005","96.0129906","95.68856823","95.32432054","95.3943681704","95.82165873","96.21742785","97.03348277","97.3697114","98.017652","98.19277108",
"종합","서울","전세수급동향","","110.2287582","112.2262177","115.913556","115.2974039","113.7364443","112.2247782","112.3602893","116.2886259","119.3786982","119.2143327","118.6061801","118.277449","119.2258272","119.4471231","118.675667","114.1433623","111.2182578","110.8486017","112.0218579","112.0861459","114.5773063","116.4255866","115.5576985","116.5863067","114.6615335","116.008983","119.201155","120.5646455","119.0567854","119.0567854","117.2624647","116.9096896","117.9915334","119.0263405","119.6260583","118.1796802","116.7920978","114.9929445","112.9468485","113.1232361","113.1585136","113.4877705","113.593603","113.4524929","112.8288708","112.8055879","112.6891735","110.7916182","107.3457509","106.9732247","106.6472643","105.8234335","105.5361305","106.0228332","105.3471575","101.0942957","101.7927823","101.7462165","101.1757858","99.04524699","99.19053549","98.88958074","95.54794521","91.43835616","88.40805313","88.47031963","90.48360315","93.51390619","96.43005396","94.12619344","92.06102117","88.89580739","82.82586027","75.65172054","74.77580813","75.76642336","77.12200209","78.59228363","84.23357664","90.64650678","92.59645464","95.49530761","96.95516163","104.6611053","105.3720653","104.0978715","103.8377411","102.4467873","100.8852198","106.4140811","110.6256207","113.0188679","111.9737887","115.7664813","118.24861","121.2172359","119.9761716","116.8387609","112.827641","107.1882446","107.6747419","112.6787133","114.907581","116.8229306","116.1934101","106.6836325","100.1004554","95.99517814","92.89445486","90.78788691","91.7738478","93.95258505","94.76892163","94.47495312","92.35562106","88.96330029","85.52102866","78.9646397","72.03991428","66.60862577","66.52287582","67.89542484","72.49019608","76.69281046","82.88235294","85.35947712","87.94771242","90.5751634","92.21568627","93.37908497","93.32679739","92.02614379","91.49169136","92.72832668","94.54463481","96.67010176","98.87285843","100.6762849","102.2285199","102.4153034","101.5908798","101.0820559","99.53626175","98.03555327","97.57181502","98.22877753","99.44609043","99.52405454","100.6174428","101.8651916645","101.2413172","101.2155904","102.5598148","104.2384873","104.1484435","104.6822742",
"종합","강북권역","전세수급동향","","118.0124224","118.3850932","119.1542289","118.8238955","117.7037959","117.7660236","116.2204234","118.9601494","119.5516812","119.3337484","119.3337484","117.9638854","118.983466","119.228414","120.4531537","118.0036742","115.7991427","116.4115126","116.809553","117.1463564","119.5958359","120.7593386","120.3919167","119.8101653","117.898595","120.647526","123.0910202","123.8546121","122.1136225","122.724496","121.1091234","120.2593918","120.9078712","122.6520572","123.7924866","120.5500894","118.783542","117.6207513","114.2218247","113.9534884","113.9534884","113.6851521","113.618068","113.0143113","112.2892635","112.5776398","112.0008873","111.1357587","106.6992014","106.0559006","105.9449867","106.6829485","104.1759218","104.82008","103.6428254","100.3992902","101.242236","100.931677","99.31233363","94.69240048","94.71250503","95.69762766","94.04905509","89.28427825","86.36911942","85.54483313","86.1278649","88.09811017","89.84720547","88.78166466","86.77121029","86.02734218","79.04203719","73.72675829","72.91835085","73.68633791","75.34357316","75.88924818","81.81083266","87.51010509","88.82376718","91.8148747","92.98706548","97.75666936","99.13461538","100.1923077","100.6725596","99","97.90384615","105.7093426","110.3302611","112.7688172","110.6525912","115.9884837","117.159309","120.7293666","120.5182342","118.0422265","113.7428023","107.7159309","108.2341651","113.3205374","113.3512545","115.9626216","117.3323093","105.5811572","101.0752688","96.42857143","93.02355351","90.75544174","92.28110599","94.4828469","94.59667093","94.07322069","91.78836792","88.3000512","84.15258577","78.49462366","72.41423451","67.67793139","69.33349975","71.51772341","75.46180729","78.23265102","82.95057414","84.04892661","87.55616575","88.84173739","90.4892661","91.1757364","91.03844234","89.44083874","89.57002457","91.56019656","93.12039312","96.38820639","98.78378378","101.4496314","101.977887","102.027027","101.5847666","101.044226","99.59459459","97.6044226","96.79361179","97.1007371","98.34152334","98.85693215","100.2949853","101.8436578171","101.1553589","100.7866273","102.8638151","104.6583088","104.3141593","104.9287119",
"종합","도심권","전세수급동향","","139.8148148","139.8148148","138.8888889","138.8888889","138.8888889","138.2716049","135.0308642","134.7222222","135.0308642","134.7222222","134.7222222","134.7222222","132.9819277","132.9819277","132.9819277","132.6807229","131.7771084","131.7771084","131.1746988","131.7771084","131.7771084","132.3795181","134.186747","135.3915663","132.2289157","134.3373494","134.0361446","134.3373494","133.5843373","132.9819277","129.1122715","128.3289817","125.4569191","125.3263708","126.2402089","124.4125326","123.7597911","123.7597911","124.2819843","123.8903394","123.8903394","123.8903394","123.6292428","121.0182768","117.1018277","118.537859","117.1018277","112.1409922","109.3994778","108.4856397","106.9190601","111.4882507","111.4882507","112.1409922","112.7937337","110.0522193","114.0992167","116.5796345","112.7937337","106.3333333","107.5555556","109.8888889","110","96.44444444","96.33333333","99.22222222","99.77777778","104.3333333","104","106.2222222","101.4444444","101.6666667","93.96929825","82.56578947","83.11403509","83.77192982","82.89473684","84.64912281","80.15350877","84.97807018","87.82894737","90.57017544","95.50438596","98.79385965","101.6460905","101.4403292","104.0983607","99.69135802","100.308642","106.0699588","115.1639344","114.6516393","113.8319672","117.2131148","118.545082","122.8483607","121.7213115","117.7254098","112.9098361","107.9918033","105.1229508","111.5778689","109.8023064","113.5914333","113.1795717","102.4711697","100.9884679","94.39868204","90.60955519","87.47940692","89.70345964","91.18616145","91.76276771","90.36243822","87.62376238","85.09060956","80.80724876","76.44151565","73.14662273","68.86326194","71.15384615","73.31730769","76.84294872","77.96474359","80.28846154","82.7724359","86.61858974","88.22115385","89.82371795","89.82371795","88.86217949","87.74038462","87.69716088","88.170347","89.11671924","91.00946372","94.32176656","97.00315457","99.05362776","100.8675079","101.1041009","100.3154574","99.68454259","98.42271293","98.8170347","100.3943218","101.2618297","100.6339144","101.2678288","102.6148969889","101.7432647","100.9508716","103.2488114","104.3581616","103.2488114","103.4865293",
