"주택유형별","지역별","항목","단위","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월",
"종합","전국","지역별 전월세전환율","","9.6","9.6","9.6","9.6","9.6","9.6","9.5","9.4","9.3","9.2","9.2","9.1","9.2","9.1","9.1","9.1","9.1","9.1","9","9","9","8.9","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.7","8.6","8.5","8.4","8.3","8.3","8.3","8.3","8.3","8.3","8.2","8.2","8.1","8.1","8","7.9","7.8","7.7","7.7","7.7","7.7","7.6","7.5","7.5","7.4","7.3","7.178657285","7.097081908","7.010183843","6.923953702","6.878749614","6.865358115","6.8561605","6.832429698","6.817247901","6.809034556","6.77107235","6.718942214","6.613114838","6.554534","6.503848465","6.422175235","6.400780509","6.408018762","6.422711876","6.423083999","6.436811433","6.452247436","6.435165374","6.413263404","6.356374886","6.313714335","6.266216433","6.25446217","6.255099598","6.269247049","6.315926423","6.340313356","6.359348256","6.343862958","6.313884153","6.268846052","6.227108895","6.158500979","6.116574893","6.083102983","6.077270125","6.130433982","6.167571173","6.234815198","6.228787554","6.2372854","6.229469539","6.165210224","6.092720886","6.039649054","5.967650564","5.867996902","5.870300326","5.891658825","5.9035018","5.891219919","5.900463406","5.906900664","5.881305402","5.808174336","5.749569737","5.694659366","5.651346524","5.616055556","5.609092023","5.678507185","5.718879136","5.742514527","5.74638668","5.757462636","5.741249866","5.696188232","5.63507487","5.609087698","5.591430306","5.563224533","5.551148426","5.639813525","5.681074678","5.713813246","5.823343115","5.851956608","5.866579863","5.839018935","5.841329459","5.850253053","5.815790996","5.852163365","5.897444932","5.974605336","6.03509233","6.053490541","6.086847031","6.072066565","6.052372412","6.067129293","6.058188819","6.105481969","6.101647472","6.137753207","6.190163528","6.162902731","6.102222234","6.003090071","5.906597172","5.815386233","5.787399717","5.813494719","5.905104806","6.020347952","6.127266128","6.191010568","6.203079849","6.332629206","6.391173795","6.431378662","6.4680799134","6.505284783","6.530940958","6.507363782","6.511704981","6.512420362","6.536760711",
"종합","수도권","지역별 전월세전환율","","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.1","9","9","8.9","8.8","8.8","8.8","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.6","8.5","8.5","8.4","8.4","8.4","8.4","8.3","8.3","8.3","8.2","8.1","8","8","7.9","7.9","7.8","7.8","7.7","7.7","7.7","7.7","7.6","7.6","7.5","7.4","7.4","7.3","7.2","7.1","7","7","7","6.9","6.8","6.752196571","6.670528679","6.566537266","6.476224656","6.3753085","6.344176056","6.312483979","6.302283726","6.292758425","6.290707224","6.272857945","6.257400058","6.188460833","6.11761722","6.034472627","5.990741728","5.945425372","5.904710676","5.913115309","5.906467173","5.924033222","5.944590527","5.934139445","5.939511223","5.892066364","5.850873353","5.795698217","5.782844297","5.777720807","5.753185764","5.781776591","5.802485059","5.842298224","5.843954735","5.83072774","5.813151481","5.795627678","5.736518534","5.691236071","5.654554778","5.636110455","5.634734424","5.67415375","5.706795775","5.701821903","5.703674127","5.705249879","5.678864781","5.615708688","5.562464807","5.520277649","5.412970967","5.394128329","5.364714456","5.352929135","5.354894495","5.35411117","5.389243402","5.378625136","5.33536631","5.307068411","5.275424119","5.230431534","5.176258437","5.161588368","5.193524106","5.21018186","5.222353354","5.218376513","5.238244699","5.243684197","5.229829466","5.19410285","5.172922573","5.161583368","5.128767463","5.117973734","5.160676506","5.201293742","5.242425257","5.370301921","5.402258534","5.438654694","5.451874801","5.458650951","5.483928598","5.437469947","5.47463299","5.534292088","5.633197817","5.709616886","5.753462075","5.80375561","5.817096382","5.814813721","5.824845065","5.815396278","5.815738291","5.799307615","5.790529796","5.819982876","5.800556886","5.751388517","5.673478356","5.609596656","5.542935975","5.533393012","5.542482287","5.632247675","5.726139044","5.807139458","5.855326037","5.859168575","5.946927404","5.995947117","6.049839299","6.0872203835","6.135422451","6.1579091","6.179126693","6.186130016","6.174490627","6.209007394",
"종합","지방","지역별 전월세전환율","","10.5","10.5","10.5","10.5","10.5","10.5","10.4","10.3","10.1","10.1","10","9.9","9.9","9.8","9.8","9.8","9.8","9.8","9.7","9.7","9.7","9.6","9.6","9.5","9.6","9.6","9.7","9.6","9.6","9.6","9.6","9.4","9.3","9.2","9.1","9.1","9.1","9.2","9.2","9.2","9.2","9.2","9.1","9","8.9","8.8","8.7","8.7","8.7","8.7","8.7","8.7","8.6","8.6","8.5","8.4","8.222105486","8.149079749","8.064176872","8.073339762","8.103952315","8.111385095","8.092965736","8.040417606","8.031536842","8.042157807","7.980287107","7.889821243","7.765713007","7.740370545","7.665365157","7.614117732","7.581559837","7.618166581","7.638325031","7.650656594","7.674154454","7.677855826","7.698507838","7.641004976","7.581807805","7.516988113","7.497245244","7.425270471","7.445502467","7.450480408","7.539423173","7.572731149","7.557447298","7.538459258","7.490836742","7.405981961","7.340356672","7.254984606","7.176756826","7.115613666","7.135020564","7.265553103","7.291643307","7.380593513","7.382083359","7.403277835","7.379353112","7.26381288","7.200967979","7.154710712","7.038235504","6.917705814","6.985113492","7.073824208","7.076548896","7.069840736","7.067285129","7.069321787","7.038752063","6.921759812","6.825901078","6.752698369","6.734684146","6.709135419","6.6995227","6.814358071","6.92811544","6.961289245","6.96599016","6.976435253","6.922805912","6.796167423","6.690494768","6.64575642","6.61031854","6.561621258","6.550440931","6.632994325","6.695791226","6.706975449","6.756499672","6.758902406","6.744868765","6.621939852","6.583532375","6.615715252","6.585575633","6.570855867","6.587723594","6.614562523","6.645945615","6.637441196","6.644143184","6.580978449","6.535405974","6.572882927","6.602592739","6.709090797","6.733864052","6.844506207","6.921519463","6.852178655","6.797721838","6.648129765","6.518034247","6.377501524","6.322694579","6.396247695","6.502395705","6.667700918","6.794719671","6.879144682","6.875214448","7.027445112","7.119681002","7.136295665","7.1649665115","7.180574698","7.211678661","7.158513619","7.148027997","7.223717542","7.243613356",
"종합","5대광역시","지역별 전월세전환율","","9.8","9.8","9.8","9.8","9.8","9.8","9.7","9.6","9.5","9.4","9.4","9.3","9.4","9.4","9.4","9.4","9.3","9.3","9.3","9.3","9.2","9","9","9","9.1","9.2","9.3","9.2","9.3","9.2","9.1","9","8.8","8.6","8.5","8.5","8.6","8.7","8.7","8.7","8.7","8.7","8.6","8.4","8.3","8.3","8.2","8.2","8.2","8.3","8.3","8.2","8.2","8.1","8","7.8","7.69715064","7.682052516","7.523903022","7.551697206","7.53543772","7.634124357","7.647576107","7.648954851","7.628263109","7.64370942","7.57790555","7.493154391","7.348787217","7.283440002","7.252432994","7.178645069","7.182328552","7.305479775","7.266646417","7.335674885","7.283229591","7.329618001","7.310193715","7.229128761","7.149397921","7.094553292","7.080193712","7.057729902","7.011231081","7.084041721","7.211897377","7.23974425","7.220088214","7.207054622","7.198284943","7.078280446","7.030455969","6.932410548","6.880142679","6.788344766","6.849187091","6.965796927","6.985217878","7.105297445","7.094869805","7.086696228","7.056091866","6.876079154","6.81058784","6.746867839","6.606828588","6.536328617","6.640890293","6.762204625","6.79199963","6.782739475","6.757929545","6.76944227","6.697733476","6.544567676","6.458057691","6.35934179","6.266783384","6.225225902","6.232775574","6.322766095","6.400867279","6.440915012","6.448213902","6.45237637","6.380568945","6.262117219","6.150030126","6.098729711","6.051015783","6.025219659","6.02982175","6.168089819","6.207062232","6.231096669","6.215930227","6.229273971","6.203661644","6.104745127","6.037882285","6.083006091","6.063133366","6.083725018","6.130123162","6.14864563","6.18104952","6.220562022","6.216118706","6.195060706","6.161161239","6.121651976","6.146581786","6.205554964","6.248543634","6.323841465","6.385165427","6.387502016","6.37446447","6.274036198","6.183581316","6.096360766","6.0160171","6.004394874","6.073533498","6.1897953","6.284339005","6.370529154","6.388364155","6.550128188","6.634159851","6.682020786","6.6818849357","6.706994771","6.699961906","6.638761955","6.628316759","6.650432996","6.689334039",
"종합","8개도","지역별 전월세전환율","","11.2","11.2","11.2","11.2","11.2","11.2","11.1","11.1","10.9","10.9","10.8","10.7","10.6","10.5","10.4","10.3","10.4","10.4","10.4","10.4","10.2","10.3","10.3","10.1","10.1","10.1","10.2","10.2","10.1","10.2","10.1","10","9.9","9.8","9.8","9.7","9.7","9.8","9.8","9.8","9.8","9.8","9.7","9.5","9.4","9.3","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.1","9","9","8.905148564","8.875229077","8.796231543","8.669762024","8.720766338","8.676961677","8.66012513","8.566328175","8.509902234","8.509340678","8.442019519","8.348036289","8.229688038","8.240717725","8.107131873","8.053809274","8.062305429","8.115431989","8.142814551","8.142246477","8.159429801","8.121079453","8.145249548","8.071459658","8.021368873","7.989522096","7.970550264","7.889727798","7.96857395","7.905961712","8.001185926","8.026461565","7.990597516","7.934520552","7.874186579","7.799587775","7.728621857","7.658036752","7.655486377","7.544108293","7.532673032","7.654626568","7.683631605","7.738976719","7.725632926","7.756284123","7.733844266","7.655370097","7.585914587","7.570406101","7.519377559","7.390577045","7.403465798","7.440056774","7.443126476","7.448225755","7.456356212","7.459217835","7.448706698","7.376557063","7.304232814","7.223961607","7.249159404","7.244868264","7.296959208","7.385800392","7.519683104","7.535435057","7.5431196","7.524614108","7.471743383","7.370370246","7.297225432","7.22241156","7.199820177","7.141725126","7.105515505","7.182333507","7.225044676","7.231152394","7.299456152","7.270009062","7.262913847","7.1278223","7.093590105","7.119564616","7.078638572","7.065837443","7.075927119","7.110776993","7.169266005","7.121832012","7.110203889","7.008538971","6.921854056","7.02036808","7.098754129","7.242677677","7.275870236","7.429609925","7.522278217","7.417975416","7.320583207","7.122017341","6.954082063","6.751300072","6.698318604","6.829643882","6.993353674","7.188155251","7.353596776","7.464951928","7.438708962","7.5688355","7.628053975","7.603124816","7.6337946051","7.62941384","7.663419335","7.629903438","7.622364532","7.749996649","7.743127861",
"종합","서울","지역별 전월세전환율","","8.6","8.6","8.6","8.6","8.6","8.6","8.5","8.4","8.3","8.2","8.2","8.2","8.2","8.2","8.2","8.1","8.1","8.1","8","8","7.9","7.9","7.8","7.8","7.8","7.9","7.8","7.8","7.8","7.8","7.7","7.6","7.5","7.4","7.3","7.3","7.3","7.3","7.3","7.2","7.2","7.2","7.2","7.1","7.1","7","6.9","6.9","6.8","6.7","6.7","6.6","6.6","6.5","6.5","6.4","6.350042345","6.249722366","6.188773032","6.084986893","6.00127569","5.998731166","5.969857458","5.97827929","5.967852653","5.96582839","5.954227244","5.916008769","5.842659823","5.744366744","5.671662263","5.641824864","5.612881227","5.575725724","5.576390888","5.573560579","5.575013546","5.569447442","5.531291807","5.50922736","5.433615166","5.390356488","5.330285143","5.281356323","5.296284068","5.314769738","5.367789299","5.368493181","5.417110948","5.440604146","5.426804135","5.387159276","5.360420724","5.299121218","5.256796071","5.226404438","5.213384765","5.22071748","5.245480171","5.285769002","5.260934281","5.262062649","5.252970294","5.200626736","5.15773527","5.101989646","5.077305508","4.992138361","4.983711036","4.975292608","4.96699173","4.974313671","4.983920223","5.018714372","4.992127879","4.944447109","4.905785026","4.871835237","4.807536161","4.722086765","4.708269431","4.728090544","4.786715647","4.789707426","4.780929415","4.787704429","4.763572581","4.753512195","4.70986915","4.707901342","4.698087827","4.671633981","4.673191354","4.71433637","4.74421371","4.774023322","4.81200403","4.847028566","4.86742264","4.870929867","4.856177964","4.864414832","4.850319254","4.875869609","4.929347131","5.034846264","5.12773265","5.16480067","5.215673556","5.249764544","5.256886632","5.241977676","5.214369965","5.189849106","5.182442011","5.180340177","5.227824841","5.241678099","5.212908332","5.162827736","5.091857764","5.017016294","4.974830247","4.930090519","5.023079129","5.082617026","5.168135144","5.225124069","5.250598689","5.3428563","5.428313196","5.484609258","5.4863644973","5.491691375","5.473007313","5.462591191","5.45048964","5.437496919","5.488274479",
"종합","강북권역","지역별 전월세전환율","","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.6","8.6","8.5","8.4","8.4","8.4","8.4","8.4","8.4","8.3","8.3","8.2","8.1","8.1","8","8","8","8","8.1","8.1","8","8","8","7.9","7.8","7.6","7.6","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.4","7.4","7.3","7.2","7.2","7.1","7.1","7","7.1","7","7","6.9","6.9","6.8","6.7","6.583823453","6.51031127","6.4135091","6.346976001","6.31313866","6.368707162","6.335119476","6.320826302","6.311728432","6.291619785","6.234214828","6.160967164","6.078817782","6.013553966","5.924205033","5.913858438","5.873312753","5.891583277","5.927647073","5.924005427","5.95924894","5.905270993","5.862749777","5.786726651","5.685087757","5.625203185","5.560349506","5.526011874","5.576081338","5.614228316","5.683042326","5.670520279","5.720107265","5.739009639","5.687898386","5.612731441","5.576946076","5.52294563","5.484176312","5.4844625","5.503999103","5.522282691","5.558336914","5.600809406","5.537518336","5.541671591","5.491252117","5.423603233","5.401366408","5.333741799","5.301887961","5.238800358","5.218979966","5.229225572","5.224316269","5.248733354","5.254586814","5.299616005","5.274897653","5.199770183","5.105651685","5.068798354","5.023948835","4.952167867","4.922385605","4.971587689","5.038956189","5.053741605","5.047837163","5.051042649","5.041783472","5.039092769","4.987809661","4.957251163","4.954379943","4.942798996","4.946034909","5.01941218","5.077130231","5.115214404","5.137651559","5.186412449","5.234784649","5.227825033","5.191971608","5.174208875","5.132931602","5.169975738","5.215196378","5.370069328","5.430641427","5.493782552","5.561549208","5.607429279","5.612163514","5.557364623","5.532907591","5.486510939","5.481211222","5.473696412","5.517384125","5.56092747","5.533423957","5.491833375","5.411983098","5.332330162","5.285319545","5.220287284","5.297305947","5.359582742","5.446135914","5.517551506","5.551241112","5.70273785","5.816552728","5.849066049","5.8372918259","5.854550749","5.824287658","5.776921143","5.759443738","5.754381011","5.823264595",
"종합","도심권","지역별 전월세전환율","","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9","8.9","9","9","8.7","8.6","8.7","8.5","8.5","8.4","8.3","8.2","8.3","8.2","8.3","8.3","8.2","8.3","8.3","8.4","8.2","8.3","8.2","8.2","8.1","7.8","7.7","7.7","7.7","7.7","7.8","7.7","7.8","7.8","7.8","7.7","7.5","7.5","7.5","7.5","7.5","7.4","7.4","7.4","7.2","7.2","7.2","7","6.9","6.838377494","6.604511465","6.514930886","6.400780573","6.387073014","6.428265728","6.394609597","6.506590215","6.369834501","6.427355271","6.384797329","6.353144078","6.355025767","6.237821596","6.147488983","6.118727211","6.161984031","6.127058751","5.979692665","6.104678673","6.04156796","6.013764461","5.983254442","5.848147259","5.831493906","5.768244478","5.776593557","5.743302597","5.710212125","5.851830194","5.911283841","5.929806272","6.037409822","5.993373944","6.14282762","5.832491811","5.735604879","5.563320145","5.431495041","5.330539633","5.382284097","5.56010788","5.572346811","5.630002501","5.669922585","5.697920375","5.674753779","5.565739614","5.582073169","5.500188565","5.477446365","5.410436886","5.200316064","5.300104112","5.317937171","5.323366429","5.379855021","5.350056047","5.348211379","5.289435826","5.155820958","5.074265397","4.989817992","4.935726513","5.03491693","5.067491084","5.158263514","5.071903901","5.08770848","5.065958385","5.02587955","5.102370179","5.090122484","5.024791185","5.122240853","5.183363161","5.185583895","5.231030567","5.210318792","5.219078782","5.157706789","5.241363941","5.265176055","5.223174094","5.224734284","5.245860861","5.233267039","5.286502529","5.319542897","5.445523264","5.532436413","5.547643213","5.637935196","5.671961562","5.576232504","5.566026738","5.428956219","5.40463699","5.395723043","5.496431383","5.564737202","5.6343611","5.617693984","5.609075378","5.543976134","5.34882819","5.260145013","5.225088425","5.29169385","5.347296812","5.462391648","5.489111161","5.540672297","5.611037002","5.67111569","5.725946003","5.6314636726","5.699954","5.72298005","5.747426764","5.708566337","5.622799503","5.670626114",
"종합","동북권","지역별 전월세전환율","","8.7","8.7","8.7","8.7","8.7","8.7","8.6","8.5","8.4","8.3","8.3","8.3","8.3","8.3","8.3","8.2","8.2","8.1","8.1","8.1","8.1","8.1","8","8","8","8.1","8.1","8.1","8.1","8","8","7.9","7.8","7.7","7.6","7.6","7.5","7.5","7.5","7.5","7.4","7.4","7.4","7.4","7.4","7.3","7.3","7.2","7.2","7.1","7","7","6.9","6.9","6.8","6.8","6.718815224","6.607333257","6.532677811","6.411023121","6.346237257","6.298125272","6.333319472","6.352711311","6.330549996","6.326235505","6.318991206","6.310418485","6.195980728","6.066268882","6.019752243","5.960825982","5.979966857","5.929950119","5.917180116","5.920392738","5.878495638","5.92129615","5.85993943","5.878739785","5.795121993","5.744381207","5.708189941","5.677500827","5.635486655","5.635114485","5.652148647","5.648126673","5.664747482","5.674722021","5.657420611","5.645788223","5.646602322","5.605235138","5.566590609","5.52109035","5.457489282","5.454648421","5.455701696","5.487856043","5.470432039","5.479690582","5.522634166","5.476534142","5.427838787","5.374491342","5.339560213","5.280202134","5.234345479","5.182932031","5.147100684","5.138002031","5.141323645","5.141200365","5.116202488","5.192058766","5.093147736","5.066617436","5.016842508","4.931211799","4.889338588","4.945709422","5.016158212","5.040623432","5.044492839","5.067127342","5.058920984","5.05358278","4.989484025","4.962365219","4.955059569","4.902058824","4.928186636","5.006999883","5.082938368","5.150643423","5.179340007","5.249288551","5.313944224","5.291220073","5.226901067","5.201211795","5.153365629","5.15975287","5.20808202","5.39483349","5.450889027","5.509844449","5.568540278","5.630864317","5.651203218","5.583264904","5.578741577","5.53565711","5.507039041","5.501753083","5.536227273","5.576788494","5.548414273","5.495232792","5.429421279","5.339154363","5.294217608","5.235673253","5.326002966","5.376167942","5.453850375","5.566098017","5.60020142","5.759969885","5.862622368","5.861446686","5.8554393179","5.821087621","5.751509069","5.722022244","5.713796304","5.740012158","5.839535663",
"종합","서북권","지역별 전월세전환율","","8","8","8","8","8","8","7.9","7.9","7.8","7.7","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.5","7.5","7.4","7.3","7.3","7.1","7.1","7.1","7","7","6.9","6.9","6.8","6.7","6.7","6.7","6.6","6.5","6.5","6.5","6.4","6.4","6.5","6.5","6.4","6.3","6.1","6.1","6","5.9","5.9","5.8","5.7","5.7","5.6","5.6","5.553763884","5.468058576","5.429518699","5.306808872","5.204662849","5.117969458","5.059265932","5.041184194","5.041584096","5.054076565","5.070180331","5.059436038","5.012202588","4.887765575","4.805145572","4.750781802","4.711600959","4.641012144","4.615714479","4.62564431","4.636371247","4.648001759","4.628257886","4.663715979","4.637262142","4.615864231","4.562544365","4.504682106","4.521463582","4.506509448","4.538060631","4.566507679","4.591006958","4.637612783","4.652690435","4.673261249","4.649434597","4.596131024","4.563198571","4.503678769","4.491662653","4.499316459","4.495450803","4.521070783","4.538902039","4.53236687","4.51770883","4.495471772","4.477255438","4.434833577","4.380185034","4.243860983","4.279995328","4.264827597","4.265808687","4.271836898","4.275367872","4.322808108","4.31454295","5.177257797","5.093372105","5.022746351","5.023227148","4.983637232","4.946660543","4.973274138","5.02976675","5.063901799","5.0357514","4.98953225","4.98358844","4.957540268","4.940253609","4.901832557","4.894771053","4.93670482","4.893968566","4.97727643","5.025675439","4.985809404","5.01756686","5.015914168","5.033673453","5.066698927","5.088028034","5.079616649","5.045004465","5.158308055","5.1759863","5.275216601","5.34269214","5.433289764","5.495791476","5.513969686","5.50166254","5.466486164","5.468173592","5.397884792","5.455601767","5.361153683","5.423245913","5.465759727","5.447545886","5.440179875","5.323592275","5.279147846","5.276674884","5.156789415","5.241597427","5.334118494","5.415813505","5.404248887","5.433628334","5.620651023","5.763297054","5.84825797","5.8872489691","5.997075601","6.040989585","5.892027155","5.896280501","5.860656727","5.873027343",
